fix_5,fix_7.5,fix_10,fix_12.5,fix_15,fix_17.5,fix_20,rand_5,rand_7.5,rand_10,rand_12.5,rand_15,rand_17.5,rand_20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7.5,10,12.5,15,17.5,20,4,6,10,13,20,20,30
100,100,100,100,100,100,100,30,150,150,160,100,170,160
50,100,110,125,135,150,200,10,10,10,10,10,10,10
5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,30,25,25,0,0,0,0,0,20,20
0,0,0,0,0,1,0,0,NA,0,0,NA,NA,4
0,0,0,0,0,0,1000,0,0,0,0,0,0,1000
0,0,0,0,0,1000,1000,0,0,0,0,0,1000,1000
300,325,350,375,400,450,500,280,300,320,340,350,460,480
25,38,50,63,75,88,100,40,50,60,70,80,90,100
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,200,300,500,800,750,900,50,100,500,550,575,600,300
0,0,0,0,0,0,0,0,0,0,0,0,0,10
250,300,400,450,600,700,700,150,200,250,400,450,500,600
2,3,4,5,5,6,7,3,6,4,7,5,5,15
0,0,100,200,320,360,400,0,0,0,0,100,200,360
15,50,80,250,100,280,300,25,50,100,200,240,280,300
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
